maneuver_id,canonical_race_id,source_location,team,boat,maneuver_type,center_time,classification_confidence,baseline_confidence,loss_confidence,demo_triage_score,relative_speed_loss_area,abs_relative_vmg_loss_area,time_below_fleet_speed,time_below_fleet_vmg,recovery_time_to_90,recovery_time_to_95,data_gap_near_center,vmg_sign_mismatch_flag,unrecovered_flag,strict_demo_candidate,review_tier,recommended_use,final_card_available,final_card_path
1,Halifax_Race_1,Halifax,AUS,AUS,gybe,2024-06-01 19:08:48+00:00,1.0,high,high,0.9663333333333334,632.2497589302063,510.3773820433928,41.0,0.0,,,False,False,True,True,high_review_priority,candidate_review,False,
2,Halifax_Race_1,Halifax,AUS,AUS,gybe,2024-06-01 19:10:13+00:00,1.0,high,high,0.5793666666666667,104.62731033325176,177.83270379516625,35.0,21.0,0.0,11.0,False,False,False,True,medium_review_priority,backup_review,False,
3,Halifax_Race_1,Halifax,AUS,AUS,gybe,2024-06-01 19:10:54+00:00,1.0,high,high,0.8312,291.0400935745237,322.75844863315143,41.0,4.0,14.0,,False,False,False,True,high_review_priority,candidate_review,False,
4,Halifax_Race_1,Halifax,AUS,AUS,tack,2024-06-01 19:11:34+00:00,1.0,high,high,0.6974666666666667,195.54891963958727,231.38334907992606,39.0,34.0,0.0,26.0,False,False,False,True,high_review_priority,candidate_review,False,
5,Halifax_Race_1,Halifax,AUS,AUS,tack,2024-06-01 19:12:26+00:00,1.0,high,high,0.8954666666666667,403.16557331085187,364.54798066013694,41.0,38.0,23.0,24.0,False,False,False,True,high_review_priority,candidate_review,False,
6,Halifax_Race_1,Halifax,AUS,AUS,tack,2024-06-01 19:13:11+00:00,1.0,high,high,0.34746666666666665,94.03519798278802,9.937544717582195,16.0,4.0,0.0,8.0,False,False,False,True,medium_review_priority,backup_review,False,
7,Halifax_Race_1,Halifax,AUS,AUS,gybe,2024-06-01 19:15:23+00:00,1.0,high,high,0.4201666666666667,39.37754688262934,123.06555943324932,22.0,25.0,0.0,25.0,False,False,False,True,medium_review_priority,backup_review,False,
8,Halifax_Race_1,Halifax,AUS,AUS,gybe,2024-06-01 19:16:35+00:00,1.0,high,high,0.3297333333333334,21.726526451110857,64.9948170208112,13.0,27.0,13.0,16.0,False,False,False,True,medium_review_priority,backup_review,False,
9,Halifax_Race_1,Halifax,AUS,AUS,low_confidence_turn,2024-06-01 19:16:57+00:00,0.5,high,low,,27.537786483764663,,5.0,3.0,0.0,0.0,False,False,False,False,exclude_from_demo,exclude,False,
10,Halifax_Race_1,Halifax,AUS,AUS,tack,2024-06-01 19:17:27+00:00,1.0,high,high,0.4303666666666667,61.81674173355098,95.18319880637242,22.0,19.0,0.0,11.0,False,False,False,True,medium_review_priority,backup_review,False,
