maneuver_id,canonical_race_id,source_location,team,boat,maneuver_type,center_time,classification_confidence,baseline_confidence,loss_confidence,demo_triage_score,relative_speed_loss_area,abs_relative_vmg_loss_area,time_below_fleet_speed,time_below_fleet_vmg,recovery_time_to_90,recovery_time_to_95,data_gap_near_center,vmg_sign_mismatch_flag,unrecovered_flag,strict_demo_candidate,review_tier,recommended_use,final_card_available,final_card_path
413,Bermuda_Race_2,Bermuda,ITA,ITA,gybe,2026-05-09 17:29:51+00:00,1.0,high,high,0.9759333333333334,670.2786517524717,730.4326725912094,41.0,3.0,,,False,False,True,True,high_review_priority,primary_demo,True,outputs/demo_case_413/coach_loss_card.md
238,Halifax_Race_1,Halifax,USA,USA,gybe,2024-06-01 19:09:25+00:00,1.0,high,high,0.9745333333333334,645.3637881088257,647.47590790092,41.0,1.0,,,False,False,True,True,high_review_priority,candidate_review,False,
1051,Bermuda_Race_6,Bermuda,DEN,DEN,gybe,2026-05-10 17:42:11+00:00,1.0,high,high,0.9721333333333334,906.0426469802857,523.0329908752444,41.0,0.0,,,False,False,True,True,high_review_priority,candidate_review,False,
1,Halifax_Race_1,Halifax,AUS,AUS,gybe,2024-06-01 19:08:48+00:00,1.0,high,high,0.9663333333333334,632.2497589302063,510.3773820433928,41.0,0.0,,,False,False,True,True,high_review_priority,candidate_review,False,
1238,Bermuda_Race_7,Bermuda,GBR,GBR,gybe,2026-05-10 17:54:17+00:00,1.0,high,high,0.9631333333333333,604.1187383651734,508.1202794981001,41.0,0.0,30.0,,False,False,False,True,high_review_priority,candidate_review,False,
40,Halifax_Race_1,Halifax,CAN,CAN,gybe,2024-06-01 19:08:46+00:00,1.0,high,high,0.9599333333333334,518.7892985343933,585.2423641871532,41.0,4.0,,,False,False,True,True,high_review_priority,candidate_review,False,
661,Halifax_Race_4,Halifax,DEN,DEN,tack,2024-06-02 19:33:40+00:00,1.0,high,high,0.9585333333333335,711.6556238937376,483.3962677346567,40.0,35.0,,,False,False,True,True,high_review_priority,candidate_review,False,
612,Halifax_Race_4,Halifax,AUS,AUS,tack,2024-06-02 19:33:14+00:00,1.0,high,high,0.9579333333333334,937.0778336334228,602.5708907616374,37.0,32.0,,,False,False,True,True,high_review_priority,candidate_review,False,
1268,Bermuda_Race_7,Bermuda,SUI,SUI,tack,2026-05-10 17:47:06+00:00,1.0,high,high,0.9541333333333334,580.0984898757933,442.69170433312655,41.0,40.0,,,False,False,True,True,high_review_priority,candidate_review,False,
528,Bermuda_Race_3,Bermuda,DEN,DEN,tack,2026-05-09 17:52:43+00:00,1.0,high,high,0.9513333333333334,706.0650382232666,471.95251234531383,39.0,33.0,,,False,False,True,True,high_review_priority,candidate_review,False,
242,Halifax_Race_1,Halifax,USA,USA,gybe,2024-06-01 19:15:05+00:00,1.0,high,high,0.9467333333333333,547.616152610779,422.3293932007225,41.0,3.0,,,False,False,True,True,high_review_priority,candidate_review,False,
1232,Bermuda_Race_7,Bermuda,GBR,GBR,gybe,2026-05-10 17:49:05+00:00,1.0,high,high,0.9423333333333334,538.7622327804565,481.96824806570993,39.0,2.0,,,False,False,True,True,high_review_priority,candidate_review,False,
1222,Bermuda_Race_7,Bermuda,FRA,FRA,gybe,2026-05-10 17:50:59+00:00,1.0,high,high,0.9375333333333334,452.48753248214723,447.7841425949335,41.0,7.0,,,False,False,True,True,high_review_priority,candidate_review,False,
947,Halifax_Race_5,Halifax,GER,GER,tack,2024-06-02 20:00:17+00:00,1.0,high,high,0.9369999999999999,556.9255243206026,472.57274542299655,41.0,40.0,22.0,24.0,False,False,False,True,high_review_priority,candidate_review,False,
217,Halifax_Race_1,Halifax,SUI,SUI,gybe,2024-06-01 19:08:38+00:00,1.0,high,high,0.9369333333333333,502.6492269802095,391.1985394633164,41.0,2.0,,,False,False,True,True,high_review_priority,candidate_review,False,
240,Halifax_Race_1,Halifax,USA,USA,tack,2024-06-01 19:11:02+00:00,1.0,high,high,0.9287333333333333,426.52279644012435,526.4374736135647,41.0,40.0,26.0,27.0,False,False,False,True,high_review_priority,candidate_review,False,
210,Halifax_Race_1,Halifax,NZL,NZL,gybe,2024-06-01 19:08:46+00:00,1.0,high,high,0.9285333333333333,477.6281735229495,438.55071342055584,39.0,7.0,,,False,False,True,True,high_review_priority,candidate_review,False,
1257,Bermuda_Race_7,Bermuda,ITA,ITA,gybe,2026-05-10 17:49:02+00:00,1.0,high,high,0.9281333333333334,454.38755390167245,389.32741250038123,41.0,6.0,,,False,False,True,True,high_review_priority,candidate_review,False,
454,Halifax_Race_2,Halifax,USA,USA,tack,2024-06-01 19:40:38+00:00,1.0,high,high,0.9274666666666667,406.2569801330565,570.0747554909748,41.0,39.0,27.0,,False,False,False,True,high_review_priority,candidate_review,False,
71,Halifax_Race_1,Halifax,DEN,DEN,gybe,2024-06-01 19:09:00+00:00,1.0,high,high,0.9247333333333333,388.3548310089112,455.68483473733886,41.0,5.0,,,False,False,True,True,high_review_priority,candidate_review,False,
1067,Bermuda_Race_6,Bermuda,FRA,FRA,tack,2026-05-10 17:30:22+00:00,1.0,high,high,0.9239333333333334,418.2224269866943,399.4450811862945,41.0,41.0,30.0,,False,False,False,True,high_review_priority,candidate_review,False,
70,Halifax_Race_1,Halifax,DEN,DEN,tack,2024-06-01 19:07:15+00:00,1.0,high,high,0.9168333333333333,624.0909108924867,479.18080481704334,27.0,37.0,,,False,False,True,True,high_review_priority,candidate_review,False,
636,Bermuda_Race_4,Bermuda,BRA,BRA,tack,2026-05-09 18:16:59+00:00,1.0,high,high,0.9145333333333334,440.7996455955506,460.75169085502625,40.0,38.0,26.0,26.0,False,False,False,True,high_review_priority,candidate_review,False,
1186,Bermuda_Race_7,Bermuda,CAN,CAN,gybe,2026-05-10 17:49:04+00:00,1.0,high,high,0.9136666666666666,492.7010349655151,335.84110734701136,41.0,6.0,29.0,30.0,False,False,False,True,high_review_priority,candidate_review,False,
455,Halifax_Race_2,Halifax,USA,USA,tack,2024-06-01 19:41:38+00:00,1.0,high,high,0.9136333333333334,505.87332824707016,440.4897031549951,32.0,36.0,,,False,False,True,True,high_review_priority,candidate_review,False,
125,Halifax_Race_1,Halifax,FRA,FRA,tack,2024-06-01 19:11:46+00:00,1.0,high,high,0.9133333333333333,604.155557785034,293.35042155740683,39.0,29.0,,,False,False,True,True,high_review_priority,candidate_review,False,
26,Bermuda_Race_1,Bermuda,BRA,BRA,gybe,2026-05-09 17:10:54+00:00,1.0,medium,medium,0.9096,560.6790782546997,618.9548564529417,41.0,7.0,10.0,11.0,False,False,False,True,high_review_priority,candidate_review,False,
918,Halifax_Race_5,Halifax,GBR,GBR,tack,2024-06-02 19:54:43+00:00,1.0,high,high,0.9077333333333334,555.9125804901122,356.73514935322555,34.0,29.0,,,False,False,True,True,high_review_priority,candidate_review,False,
1008,Bermuda_Race_5,Bermuda,USA,USA,tack,2026-05-10 17:23:21+00:00,1.0,high,high,0.9073333333333334,590.2386276626589,256.630966129303,41.0,36.0,,,False,False,True,True,high_review_priority,candidate_review,False,
1291,Bermuda_Race_7,Bermuda,USA,USA,tack,2026-05-10 17:47:02+00:00,1.0,high,high,0.9061333333333333,420.8695209503174,305.51678460583094,41.0,36.0,,,False,False,True,True,high_review_priority,candidate_review,False,
416,Bermuda_Race_2,Bermuda,ITA,ITA,tack,2026-05-09 17:32:11+00:00,1.0,high,high,0.9033333333333334,542.1043241214751,304.6285837841036,37.0,34.0,,,False,False,True,True,high_review_priority,candidate_review,False,
812,Bermuda_Race_5,Bermuda,BRA,BRA,tack,2026-05-10 17:10:25+00:00,1.0,high,high,0.9010666666666666,386.0370116043091,424.6836532133816,41.0,39.0,23.0,24.0,False,False,False,True,high_review_priority,candidate_review,False,
259,Halifax_Race_2,Halifax,AUS,AUS,tack,2024-06-01 19:40:27+00:00,1.0,high,high,0.9004666666666666,373.15323280334485,541.836590601933,39.0,36.0,27.0,28.0,False,False,False,True,high_review_priority,candidate_review,False,
458,Halifax_Race_2,Halifax,USA,USA,tack,2024-06-01 19:44:16+00:00,1.0,high,high,0.8999333333333335,451.0221628189086,304.312447175059,40.0,30.0,,,False,False,True,True,high_review_priority,candidate_review,False,
145,Halifax_Race_1,Halifax,GBR,GBR,gybe,2024-06-01 19:08:39+00:00,1.0,high,high,0.8988000000000002,373.4519193649294,400.2399978663177,41.0,6.0,28.0,,False,False,False,True,high_review_priority,candidate_review,False,
